직종코드,직종 이름,도입직종 예시
S110,경제이익단체 고위임원,경제관련 단체 고위임원
1120,기업 고위임원,"기업의 회장, 부회장, 대표이사, 사장, 부사장 "
1212,경영지원 관리자,"총무 및 인사 관리자, 기획·홍보 및 광고 관리자, 재무 관리자, 자재 및 구매 관리자, 그 외 경영부서 관리자 "
1312,교육 관리자,"초중등학교 교장 및 교감, 유치원 원장 및 원감 (외국인학교, 외국교육기관, 국제학교 포함) "
1320,보험 및 금융 관리자,"보험 관리자, 금융 관리자 "
1340,문화·예술·디자인 및 영상관련 관리자,"문화 및 예술관련 관리자, 디자인관련 관리자, 영상관련 관리자, 신문사·방송사·영화사 운영부서 관리자 "
1350,정보통신 관련 관리자,"하드웨어회사 관리자, 하드웨어 개발부서 관리자, 소프트웨어회사 관리자, 소프트웨어 개발부서 관리자, 정보처리회사 관리자, 정보 운영부서 관리자, 통신업 운영부서 관리자, 통신회사 영업부서 관리자 "
1390,기타 전문 서비스 관리자,"시장 및 여론조사 관리자, 해외고급인력 헤드헌팅 서비스 관리자 "
1411,건설 및 광업 관련 관리자,"건설업 건설부서 관리자, 광업 생산부서 관리자 "
1413,제품생산 관련 관리자,"식품 공장장, 식품생산 공정 관리자, 식품 생산계획 관리자, 섬유 의복 공장장, 섬유의복 생산 공정 관리자, 섬유의복 생산계획 관리자, 화학제품 공장장, 화학제품 생산 공정 관리자, 화학제품 생산계획 관리자, 금속제품 공장장, 금속제품 생산 공정 관리자, 금속제품 생산계획 관리자, 기계제품 공장장, 기계제품 생산 공정 관리자, 기계제품 생산계획 관리자, 전기제품 공장장, 전기제품 생산 공정 관리자, 전기제품 생산 계획 관리자, 국내복귀기업의 생산관리자 "
14901,농림·축산·어업 관련 관리자,"농림기업 관리자, 어업기업 관리자, 인증평가 관리자 "
1511,영업 및 판매 관련 관리자,"영업 관련 관리자, 판매 관련 관리자, 무역 관련 관리자 "
1512,운송관련 관리자,"선박회사 관리자, 선박운송부서 관리자, 항공회사 관리자, 항공운송부서 관리자, 선박관리업체 선박관리전문가, 선박운송업체 선박관리전문가 "
1521,숙박·여행·오락 및 스포츠 관련 관리자,"호텔 관리자, 호텔 총지배인, 카지노 관리자, 여행업체 관리자, 관광레저사업체 관리자, 경기장 운영부서 관리자 "
1522,음식 서비스 관련 관리자,음식서비스업체 관리자
2111,생명과학 전문가,생물학·의학·약학·농학·임학·수산학·식품학·향장학·의공학·축산학 전문가
2112,자연과학 전문가,수학·응용수학·기하학·인구/수리/조사/분석/응용통계학·해양과학·측지학·지구자기학·지형학·화산학·지구물리학·지진학 전문가
2122,사회과학 연구원,계량경제학·조세경제학·노동경제학·금융경제학·농업경제학·재정학·산업사회학 연구원
2211,컴퓨터 하드웨어 기술자,"컴퓨터 하드웨어 설계 기술자, 컴퓨터 기기 기술자, 컴퓨터 네트워크장비 개발자, 제어시스템 개발원, 기록장치/디스크/메인보드/입출력장치 개발원 등"
2212,통신공학 기술자,"핸드폰회로 개발원, 무선전화기/모뎀/디지털수신기/통신망 등 설계 및 개발자, 통신공사 감리원 등"
2221,컴퓨터 시스템 설계 및 분석가,"정보시스템/네트워크/데이터베이스/정보보안 컨설턴트, 컴퓨터 시스템 감리전문가/설계가/분석가"
2222,시스템 소프트웨어 개발자,"EMBEDED 프로그램 개발자, 리눅스 개발자, MICOM 제어 기술자, 운영체계소프트웨어 개발자, FIRMWARE 개발자"
2223,응용 소프트웨어 개발자,"자료관리/재무관리/정보처리 응용 프로그래머, 게임/네트워크 프로그래머, 프로토콜 개발자"
2224,웹 개발자,"웹 엔지니어, 웹 프로그래머, 웹 마스터"
2231,데이터 전문가,"데이터 베이스 전문가, 설계가, 매니저, 프로그래머, 관리자"
2232,네트워크 시스템 개발자,"네트워크엔지니어, VAN/WAN/LAN/인트라넷 기술자, 시스템 분석가 등"
2233,정보 보안 전문가,"인터넷보안 전문가, 정보보안 연구원"
2311,건축가,"건물건축가, 건축사"
2312,건축공학 기술자,건물구조/건축감리/건축시공/건축설비/건축안전 기술자 등
2313,토목공학 전문가,건물건설/구조물/도로건설/공항만 건설 토목기술자
2314,조경 기술자,"조경설계사, 조경시설물 설계사"
